Befehl	Handler	liest	schreibt	betroffene Komponente	Risiko	Beleglage
USB bRequest 0x06 / Descriptor-Typ 0x01	0x0012c398	Device-Descriptor und wLength	USB-Control-Antwortzustand	USB-Deskriptor	niedrig im Standard-USB-Kontext	Ghidra-Controlflow und Längenbegrenzung beobachtet; kein Geräteprotokoll-Opcode
USB bRequest 0x06 / Descriptor-Typ 0x02	0x0012c3c0	Config-Descriptor und wLength	USB-Control-Antwortzustand	USB-Deskriptor	niedrig im Standard-USB-Kontext	Ghidra-Controlflow und Längenbegrenzung beobachtet
USB bRequest 0x06 / Descriptor-Typ 0x03	0x0012c494	String-Descriptor-Tabelle und wLength	USB-Control-Antwortzustand	USB-Deskriptor	niedrig im Standard-USB-Kontext	Ghidra-Controlflow und Indexauswertung beobachtet
USB bRequest 0x06 / Descriptor-Typ 0x06	0x0012c40c	Device-Qualifier-Descriptor und wLength	USB-Control-Antwortzustand	USB-Deskriptor	niedrig im Standard-USB-Kontext	Descriptor-Typ und Längenquelle beobachtet; Descriptorname aus USB-Standard abgeleitet
USB bRequest 0x06 / Descriptor-Typ 0x07	0x0012c42c	Other-Speed-Config-Quelle und wLength	USB-Control-Antwortzustand	USB-Deskriptor	niedrig im Standard-USB-Kontext	Descriptor-Typ und zwei geschwindigkeitsabhängige Quellen beobachtet
USB bRequest 0x06 / Descriptor-Typ 0x21	0x0012c4c0	0x21-Descriptorquelle und wLength	USB-Control-Antwortzustand	HID-Descriptor	niedrig im Standard-USB-Kontext	Descriptor-Typ und Längenquelle beobachtet; HID-Bedeutung aus USB/HID-Standard abgeleitet
USB bRequest 0x06 / Descriptor-Typ 0x22	0x0012c4e0	indizierte Reportdeskriptorzeiger bei Struktur +0x1c/+0x20 und Längen bei +0x5c/+0x60	USB-Control-Antwortzustand	HID-Reportdeskriptor	niedrig im Standard-USB-Kontext	High-Speed-Zeiger 0x00131330/0x00131350 und je 0x1d Byte direkt in Ghidra verfolgt; wIndex wählt Interface 0/1
USB Endpoint 1 / 0x01 OUT	0x0010deb8	440-Byte-Endpointpuffer; Spezialfall Befehlsbyte 0xff	interner Event 0x35 und Empfangszustand	Interface 0 / 440-Byte-Empfang	hoch/offen	Callbackslot +0x98; High-Speed-MPS 0x1b8; gewöhnlicher segmentierter Pfad wird durch internes Ereignis 0x38 verarbeitet
USB Endpoint 2 / 0x82 IN	0x0010df88	440-Byte-Antworttransfer	Transferzustand	Interface 0 / 440-Byte-Antwort	hoch/offen	Callbackslot +0x9c; High-Speed-MPS 0x1b8; kurzer Completion-Callback
USB Endpoint 3 / 0x03 OUT	0x0010df9c	1024-Byte-Endpointpuffer	1024-Byte-Segmentzustand; bei 0xff interner Event 0x35	Interface 1 / 1024-Byte-Empfang	hoch/offen	Callbackslot +0xa0; High-Speed-MPS 0x400; direkter Call zu 0x001297e8 bei 0x0010dff4
USB Endpoint 4 / 0x84 IN	0x0010e0a8	16-Byte-Transfer	Transferzustand	Interface 1 / 16-Byte-IN-Pfad	offen	Callbackslot +0xa4; High-Speed-MPS 0x10; kurzer Completion-Callback, Semantik offen
0x00	0x00126dfc	kein Nutzdatenzugriff sichtbar	keine Antwort sichtbar	Geräteprotokoll	offen	Ghidra-Decompiler gibt 0 zurück
0x01..0x07	0x00126dfc	keine Nutzdaten sichtbar	leere 440-Byte-Antwort über gemeinsamen Paketbauer	Geräteprotokoll	hoch/offen	Controlflow zum gemeinsamen Leerantwortpfad; 0x02 bleibt wegen Updaterkontext ausgeschlossen
0x08	0x00126dfc	Anzeige-/Systemzustand	mehrere globale Zustände	Grafik/System	hoch	direkte Aufrufe und Zustandsänderungen im Decompiler
