PROGRAM	device-firmware-v51.bin
NOTE	This is Ghidra's current static classification, not a confirmed section map.
START	END	LENGTH	CLASS
00100000	00100003	0x4	CODE
00100004	0010001f	0x1c	UNDEFINED
00100020	0010003b	0x1c	DATA
0010003c	0010004b	0x10	UNDEFINED
0010004c	00100053	0x8	CODE
00100054	00100063	0x10	UNDEFINED
00100064	001000a3	0x40	CODE
001000a4	001000b7	0x14	DATA
001000b8	001000f3	0x3c	CODE
001000f4	001000fb	0x8	DATA
001000fc	0010017f	0x84	CODE
00100180	001001ab	0x2c	UNDEFINED
001001ac	001001eb	0x40	CODE
001001ec	001001ef	0x4	DATA
001001f0	001003b7	0x1c8	CODE
001003b8	001003bb	0x4	UNDEFINED
001003bc	0010045f	0xa4	CODE
00100460	0010050f	0xb0	UNDEFINED
00100510	0010065f	0x150	CODE
00100660	001006b3	0x54	UNDEFINED
001006b4	001008ab	0x1f8	CODE
001008ac	001008e7	0x3c	UNDEFINED
001008e8	001008fb	0x14	DATA
001008fc	00100a93	0x198	UNDEFINED
00100a94	00100b9f	0x10c	CODE
00100ba0	00100bab	0xc	UNDEFINED
00100bac	00100c33	0x88	CODE
00100c34	00100c4b	0x18	UNDEFINED
00100c4c	00100c53	0x8	DATA
00100c54	00100c57	0x4	UNDEFINED
00100c58	00100e93	0x23c	CODE
00100e94	00100e9f	0xc	UNDEFINED
00100ea0	00100ff3	0x154	CODE
00100ff4	00101017	0x24	DATA
00101018	0010101b	0x4	UNDEFINED
0010101c	0010102b	0x10	DATA
0010102c	0010108f	0x64	UNDEFINED
00101090	00101b17	0xa88	CODE
00101b18	00101ca7	0x190	UNDEFINED
00101ca8	00101f67	0x2c0	CODE
00101f68	00101fc8	0x61	DATA
00101fc9	00101fcb	0x3	UNDEFINED
00101fcc	00101fd9	0xe	DATA
00101fda	001020f3	0x11a	UNDEFINED
001020f4	00102203	0x110	CODE
00102204	00102207	0x4	DATA
00102208	0010245b	0x254	CODE
0010245c	001024fb	0xa0	UNDEFINED
001024fc	00102bd3	0x6d8	CODE
00102bd4	00102f83	0x3b0	UNDEFINED
00102f84	00102fe3	0x60	CODE
00102fe4	00103027	0x44	DATA
00103028	0010304f	0x28	UNDEFINED
00103050	001030eb	0x9c	CODE
001030ec	00103137	0x4c	UNDEFINED
00103138	00103e33	0xcfc	CODE
00103e34	00103e7b	0x48	DATA
00103e7c	00103ebb	0x40	UNDEFINED
00103ebc	00103fdb	0x120	CODE
00103fdc	0010409b	0xc0	UNDEFINED
0010409c	001040b3	0x18	DATA
001040b4	001040fb	0x48	CODE
001040fc	0010412b	0x30	UNDEFINED
0010412c	00104177	0x4c	CODE
00104178	0010419f	0x28	UNDEFINED
001041a0	001046af	0x510	CODE
001046b0	0010475f	0xb0	UNDEFINED
00104760	00104b97	0x438	CODE
00104b98	00104c13	0x7c	UNDEFINED
00104c14	00104ee7	0x2d4	CODE
00104ee8	00104f1b	0x34	DATA
00104f1c	00104f23	0x8	UNDEFINED
00104f24	00104f2b	0x8	DATA
00104f2c	001050af	0x184	CODE
001050b0	001050cb	0x1c	UNDEFINED
001050cc	001050ff	0x34	CODE
00105100	00105123	0x24	UNDEFINED
00105124	001051b3	0x90	CODE
001051b4	001051cb	0x18	DATA
001051cc	001051ef	0x24	CODE
001051f0	0010520f	0x20	UNDEFINED
00105210	0010561f	0x410	CODE
00105620	0010569b	0x7c	UNDEFINED
0010569c	0010569f	0x4	DATA
001056a0	001056a3	0x4	UNDEFINED
001056a4	00105e77	0x7d4	CODE
00105e78	00105ea7	0x30	UNDEFINED
00105ea8	0010638b	0x4e4	CODE
0010638c	001063d3	0x48	UNDEFINED
001063d4	0010658f	0x1bc	CODE
00106590	001065bb	0x2c	DATA
001065bc	0010693f	0x384	CODE
00106940	00106957	0x18	UNDEFINED
00106958	0010695f	0x8	DATA
00106960	001069b7	0x58	UNDEFINED
001069b8	00106ea7	0x4f0	CODE
00106ea8	00106edf	0x38	UNDEFINED
00106ee0	00106f1b	0x3c	CODE
00106f1c	00106f33	0x18	UNDEFINED
00106f34	001070a7	0x174	CODE
001070a8	001070f7	0x50	UNDEFINED
001070f8	00107113	0x1c	DATA
00107114	001071c7	0xb4	CODE
001071c8	001072f3	0x12c	UNDEFINED
001072f4	00107533	0x240	CODE
00107534	001076af	0x17c	UNDEFINED
001076b0	0010782b	0x17c	CODE
0010782c	001078cb	0xa0	UNDEFINED
001078cc	00107aaf	0x1e4	CODE
00107ab0	00107fb3	0x504	UNDEFINED
00107fb4	00107fbb	0x8	DATA
00107fbc	00107fbf	0x4	UNDEFINED
00107fc0	00107fc3	0x4	DATA
00107fc4	001080b3	0xf0	UNDEFINED
001080b4	00108273	0x1c0	CODE
00108274	001082df	0x6c	UNDEFINED
001082e0	001086f3	0x414	CODE
001086f4	0010892b	0x238	UNDEFINED
0010892c	0010898f	0x64	CODE
00108990	00108a27	0x98	UNDEFINED
00108a28	00108f9f	0x578	CODE
00108fa0	00108fb7	0x18	DATA
00108fb8	001093f3	0x43c	CODE
001093f4	001093fb	0x8	DATA
001093fc	0010942b	0x30	CODE
0010942c	001094f3	0xc8	UNDEFINED
001094f4	00109687	0x194	CODE
00109688	00109713	0x8c	UNDEFINED
00109714	0010976b	0x58	CODE
0010976c	001097e3	0x78	UNDEFINED
001097e4	00109823	0x40	CODE
00109824	00109833	0x10	UNDEFINED
00109834	001099f3	0x1c0	CODE
001099f4	00109d33	0x340	UNDEFINED
00109d34	00109f7f	0x24c	CODE
00109f80	0010a183	0x204	UNDEFINED
0010a184	0010a1a7	0x24	CODE
0010a1a8	0010a1cb	0x24	UNDEFINED
0010a1cc	0010a1e3	0x18	CODE
0010a1e4	0010a1f7	0x14	DATA
0010a1f8	0010a423	0x22c	CODE
0010a424	0010a65b	0x238	UNDEFINED
0010a65c	0010a663	0x8	DATA
0010a664	0010a66f	0xc	UNDEFINED
0010a670	0010a717	0xa8	CODE
0010a718	0010a727	0x10	DATA
0010a728	0010a80f	0xe8	CODE
0010a810	0010a843	0x34	UNDEFINED
0010a844	0010a86b	0x28	CODE
0010a86c	0010a87b	0x10	UNDEFINED
0010a87c	0010a8a3	0x28	CODE
0010a8a4	0010a97f	0xdc	UNDEFINED
0010a980	0010aa27	0xa8	CODE
0010aa28	0010aa7b	0x54	UNDEFINED
0010aa7c	0010ab03	0x88	CODE
0010ab04	0010ab47	0x44	UNDEFINED
0010ab48	0010abe7	0xa0	CODE
0010abe8	0010ac17	0x30	UNDEFINED
0010ac18	0010ac27	0x10	CODE
0010ac28	0010ac57	0x30	UNDEFINED
0010ac58	0010ac73	0x1c	CODE
0010ac74	0010acb7	0x44	UNDEFINED
0010acb8	0010ad23	0x6c	CODE
0010ad24	0010ad37	0x14	UNDEFINED
0010ad38	0010ad53	0x1c	CODE
0010ad54	0010ad67	0x14	UNDEFINED
0010ad68	0010ad83	0x1c	CODE
0010ad84	0010ad97	0x14	UNDEFINED
0010ad98	0010adaf	0x18	CODE
0010adb0	0010ae07	0x58	UNDEFINED
0010ae08	0010ae1f	0x18	CODE
0010ae20	0010b143	0x324	UNDEFINED
0010b144	0010b15b	0x18	DATA
0010b15c	0010b15f	0x4	UNDEFINED
0010b160	0010b227	0xc8	CODE
0010b228	0010b24f	0x28	UNDEFINED
0010b250	0010b2f7	0xa8	CODE
0010b2f8	0010b3ab	0xb4	UNDEFINED
0010b3ac	0010b3eb	0x40	CODE
0010b3ec	0010b41f	0x34	UNDEFINED
0010b420	0010b62f	0x210	CODE
0010b630	0010b6ab	0x7c	UNDEFINED
0010b6ac	0010b6f7	0x4c	CODE
0010b6f8	0010b75b	0x64	UNDEFINED
0010b75c	0010b78f	0x34	CODE
0010b790	0010b7cb	0x3c	UNDEFINED
0010b7cc	0010b81b	0x50	CODE
0010b81c	0010b953	0x138	UNDEFINED
0010b954	0010b9af	0x5c	CODE
0010b9b0	0010bb73	0x1c4	UNDEFINED
0010bb74	0010c08b	0x518	CODE
0010c08c	0010c093	0x8	DATA
0010c094	0010c0a3	0x10	UNDEFINED
0010c0a4	0010c0a7	0x4	DATA
0010c0a8	0010c0ab	0x4	UNDEFINED
0010c0ac	0010c0af	0x4	DATA
0010c0b0	0010c0bf	0x10	UNDEFINED
0010c0c0	0010c0c3	0x4	DATA
0010c0c4	0010c383	0x2c0	CODE
0010c384	0010c397	0x14	UNDEFINED
0010c398	0010c7af	0x418	CODE
0010c7b0	0010c7bf	0x10	DATA
0010c7c0	0010c83f	0x80	CODE
0010c840	0010c8c3	0x84	UNDEFINED
0010c8c4	0010c9d7	0x114	CODE
0010c9d8	0010c9e3	0xc	DATA
0010c9e4	0010d023	0x640	CODE
0010d024	0010d035	0x12	DATA
0010d036	0010d037	0x2	UNDEFINED
0010d038	0010d07b	0x44	DATA
0010d07c	0010d23f	0x1c4	CODE
0010d240	0010d243	0x4	UNDEFINED
0010d244	0010d25f	0x1c	DATA
0010d260	0010d2c1	0x62	CODE
0010d2c2	0010d2c3	0x2	UNDEFINED
0010d2c4	0010d3db	0x118	CODE
0010d3dc	0010d3df	0x4	DATA
0010d3e0	0010d41d	0x3e	CODE
0010d41e	0010d41f	0x2	UNDEFINED
0010d420	0010d423	0x4	DATA
0010d424	0010d42f	0xc	UNDEFINED
0010d430	0010d63b	0x20c	CODE
0010d63c	0010d657	0x1c	UNDEFINED
0010d658	0010d6fb	0xa4	CODE
0010d6fc	0010d80b	0x110	UNDEFINED
0010d80c	0010da3b	0x230	CODE
0010da3c	0010da3f	0x4	DATA
0010da40	0010da47	0x8	UNDEFINED
0010da48	0010da67	0x20	CODE
0010da68	0010da71	0xa	UNDEFINED
0010da72	0010dad5	0x64	CODE
0010dad6	0010db07	0x32	UNDEFINED
0010db08	0010db63	0x5c	CODE
0010db64	0010db67	0x4	DATA
0010db68	0010dbf3	0x8c	CODE
0010dbf4	0010dbf7	0x4	DATA
0010dbf8	0010dc89	0x92	CODE
0010dc8a	0010dc8b	0x2	UNDEFINED
0010dc8c	0010dca8	0x1d	DATA
0010dca9	0010dcab	0x3	UNDEFINED
0010dcac	0010dcc3	0x18	DATA
0010dcc4	0010de1b	0x158	CODE
0010de1c	0010de27	0xc	DATA
0010de28	0010de9b	0x74	CODE
0010de9c	0010deb7	0x1c	DATA
0010deb8	0010e0bb	0x204	UNDEFINED
0010e0bc	0010e0d7	0x1c	CODE
0010e0d8	0010e0db	0x4	DATA
0010e0dc	0010e137	0x5c	CODE
0010e138	0010e147	0x10	DATA
0010e148	0010e323	0x1dc	CODE
0010e324	0010e327	0x4	DATA
0010e328	0010e34b	0x24	CODE
0010e34c	0010e34f	0x4	DATA
0010e350	0010e467	0x118	CODE
0010e468	0010e46f	0x8	DATA
0010e470	0010e47f	0x10	CODE
0010e480	0010e483	0x4	DATA
0010e484	0010e4db	0x58	CODE
0010e4dc	0010e4df	0x4	DATA
0010e4e0	0010e503	0x24	CODE
0010e504	0010e507	0x4	DATA
0010e508	0010e623	0x11c	CODE
0010e624	0010e627	0x4	DATA
0010e628	0010e65f	0x38	CODE
0010e660	0010e663	0x4	DATA
0010e664	0010e707	0xa4	CODE
0010e708	0010e70f	0x8	DATA
0010e710	0010e75b	0x4c	CODE
0010e75c	0010e75f	0x4	DATA
0010e760	0010e77b	0x1c	CODE
0010e77c	0010e77f	0x4	DATA
0010e780	0010e897	0x118	CODE
0010e898	0010e89b	0x4	DATA
0010e89c	0010e8af	0x14	CODE
0010e8b0	0010e8b3	0x4	DATA
0010e8b4	0010e943	0x90	CODE
0010e944	0010e947	0x4	DATA
0010e948	0010ea03	0xbc	CODE
0010ea04	0010ea0b	0x8	DATA
0010ea0c	0010eb27	0x11c	CODE
0010eb28	0010eb2f	0x8	DATA
0010eb30	0010eb87	0x58	CODE
0010eb88	0010eb8b	0x4	DATA
0010eb8c	0010ebc7	0x3c	CODE
0010ebc8	0010ebcb	0x4	DATA
0010ebcc	0010ec03	0x38	CODE
0010ec04	0010ec07	0x4	DATA
0010ec08	0010ec43	0x3c	CODE
0010ec44	0010ec47	0x4	DATA
0010ec48	0010ed0f	0xc8	CODE
0010ed10	0010ed1b	0xc	DATA
0010ed1c	0010ed8f	0x74	CODE
0010ed90	0010ed93	0x4	DATA
0010ed94	0010edab	0x18	CODE
0010edac	0010edaf	0x4	DATA
0010edb0	0010edcb	0x1c	CODE
